專利名稱,唯一識別碼
智慧型搜尋桌球的掃球機器人及其方法,de445d24-64d2-4e06-8685-6914e4c2493d
腳底按摩裝置,da2182a4-2f11-4a7b-b0e2-a89996e84e64
蛋白質凝集防止劑,e193d980-42e5-482f-818e-7f8c205c1748
反應系統及該反應系統的使用方法,e17a3e04-68b0-4188-ae76-50c0e39e66e8
電子球,e17992ef-33a2-4d2e-873b-9cc2d7bdc6db
化合物、包含化合物之阻劑組成物及使用其之圖型形成方法,fcf54c60-8ed3-49ce-9eb2-772b9e592e0c
導電膜及導電圖型之製造方法,c3f9e905-710d-42f8-b6a1-55e3a43ee32d
電解質組成物、二次電池以及二次電池之使用方法,c6225ab7-abc5-4d59-b1cd-f6bb9810338e
人手孔可調整高度之穩定裝置,b7d1484a-3626-49e7-8762-9652b1eef13f
５Ｔ靜態隨機存取記憶體,b9034716-fa66-4ce2-86fc-9e5ea9f14b0f
５Ｔ靜態隨機存取記憶體,b5925c20-b67f-462e-b385-ab641f272fb3
熱電式氫氣加壓裝置與方法,8c00f786-2fb6-4ea6-82e6-d3757a86cb07
富氫水生成裝置及其方法,74bfb962-9bdf-4868-bd43-cab986bcf2b9
高分子導電膜電極,76e9386d-1777-4763-b81e-ec4ac0c5705d
環烷基取代多環芳香族化合物、反應性化合物、高分子、懸掛型高分子、有機器件用材料、油墨組成物、有機電致發光元件、顯示裝置以及照明裝置,2ac32f81-d7cc-4b20-99ee-eaf0d1fbcf73
大黃萃取物及其用於製備抑制皮屑芽孢菌生物膜組成物之用途,49cfd5d3-46c0-470e-ba58-37249647e93b
具高讀取／寫入速度之單埠靜態隨機存取記憶體,4af20e04-e75a-4a6f-8fee-35cccb34a809
導尿管輸導裝置,5f91c721-0902-4be1-9715-bebc1a94287a
寡樹突細胞專一性啟動子、對PLP1基因具專一性之miRNA、包含該啟動子及/或該miRNA之載體與包含該載體之醫藥組合物,82863883-e9f8-4fcc-b455-62b05065cd2f
具高讀取／寫入速度之７Ｔ靜態隨機存取記憶體,95495d38-d05b-4a6d-a3c0-12a1625a4284
具高讀取／寫入速度之雙埠靜態隨機存取記憶體,cb94064e-1129-4891-a351-faf4028b256f
具高讀取／寫入速度之５Ｔ靜態隨機存取記憶體,e6801361-1384-4da8-ae65-4ed246e42bf5
氟取代多環芳香族化合物、有機器件用材料、有機電致發光元件、顯示裝置以及照明裝置,ee7b926e-9e05-4f7b-9d41-adfb17fe9dba
化合物、包含此化合物的著色劑組成物以及包含此化合物的樹脂組成物、感光材、彩色濾光片、顯示器裝置,37586b6d-b4b9-450e-bcbe-fe39096329bc
光硬化方法，及用於該光硬化方法之化合物和組成物,371d60c1-62e1-435a-bfe7-c6bf47aad5eb
醯亞胺交聯型樹脂、透明膜及表面保護膜,3ab82fea-3f41-449f-ba77-01d273c86371
具高讀取速度之５Ｔ靜態隨機存取記憶體,3992ea50-8951-4400-ba19-9c13ab68a1cc
７Ｔ雙埠靜態隨機存取記憶體（四）,3af99f77-e9ce-47c2-8020-a21a5d1cbb62
視訊編碼及解碼方法及使用該方法之裝置,4167755b-1377-4bf8-938c-4e919dc06ab5
三維空間觸控面板檢測系統及其方法,406ae6f4-35f6-4cb8-a593-7be91d3869d3
生物相容性積層體及生物相容性電子零件,41abfbc4-a5b6-4f5b-94b2-db3f6a1a2800
行車警示方法及系統,41ef8f59-f310-4750-b35d-8e9fe92a52e4
利用離子液體增加藥物微透析回收率之方法,45d11b07-4a0c-492e-83a9-acc8e37c8f63
縮合環化合物及包含其之有機發光裝置,45ff762c-2e39-4298-af54-0f35536ddf6e
肝臟組織再生用組成物,46040d88-56c9-4473-8be3-785169f00758
具花紋透鏡之車燈,466bc04d-2bf4-42be-b5c1-6cb3f6c74585
一種護髮組成物,22adb6c1-0bb6-41bf-b402-26b39c2aa110
具高寫入速度之７Ｔ靜態隨機存取記憶體,21c67999-d812-4325-abe7-5b2323d22611
編織帶狀壓電元件、使用有編織帶狀壓電元件之布帛狀壓電元件以及使用有該些之裝置,27e65dcc-22cf-4110-8148-4e4de7e03e8c
半導體元件的中間物、半導體元件的製造方法及半導體元件的製造裝置,28215961-c735-4af3-b393-25c421c60d84
光學鎖,508a6d78-1b58-4bd2-b83f-d8b77045c0ec
潤滑油添加劑,5084c0e8-241b-4df8-8202-1f8afb0b0824
以累積專業智能經驗為退休金來源的方法,4e979db9-34f6-43e1-88d5-e54e2a4d1567
高電壓邏輯電路,4d4fc7e8-6bb4-4357-998a-0bb8bd9530c0
鼓掌裝置及鼓掌方法,38f1d349-6a55-4bba-bb72-2da2c33ea31a
主動誤差補償式平台,39ac7163-0734-45f7-8c8c-df4194c17654
包含度他雄胺和丙二醇單月桂酸酯的醫藥組成物及其製備方法,3b73ee0e-c97c-4ca7-80e5-b8261caded9e
單埠靜態隨機存取記憶體（八）,36abe18b-15c2-4b5a-9d23-606cd78fb48b
Ras蛋白分解的誘導分子及醫藥組成物,36b6116e-d2f6-42d5-a6dc-e587a1b3d58e
海底震動發電裝置及其發電方法,36c21cc0-fc60-487c-81f9-0b722b4effa3
撓性電子裝置,3224a183-8655-4cf9-b47b-d6bad0ea7531
可發電節電之單相感應馬達,3a395a8c-7a66-4beb-bd47-1e1395afbdd0
二氧化碳捕集與利用之裝置及處理方法,3851feae-b027-4cf0-8096-2b15d0a123c6
垂直循環式防插隊移動座椅裝置,383f1a96-9086-4336-b02f-ce54c057ece1
輸送帶上塑膠手套脫模連桿裝置,33573c12-6187-461d-81ba-4b145b9b8b04
５Ｔ靜態隨機存取記憶體,44b4142d-6615-4f4b-b916-712c685a491e
多工防護保護殼,4573363d-58fe-41ff-acd5-14938f94f1a3
具有高胞外多醣-生產能力的胚芽乳桿菌胚芽亞種LPCS2分離株及其在免疫調節上之相關用途,4012a5bf-c925-4b2b-ac06-a465c54e7ff2
圓桶省力打孔器及製造方法,47ad4424-3278-40ee-b2e3-418d7a2c2007
盲人導航系統及其實施方法,4859e442-bfbf-4ddb-94ad-3b0234b33d7c
控制嵌段共聚物與另一化合物之間的界面之表面能的方法,49078213-a964-4fd8-b0a0-64fd9e1150c8
一種具抗老化、美白、抗過敏及細胞修護之龍眼花萃取物,48ff3efd-9b72-4b23-aa7d-330a5c61d5c5
環保管理方法,46d5cf1e-70aa-4ae9-9036-9695f6870b62
雙埠靜態隨機存取記憶體,48bc4ee8-9507-4b2a-847d-2b7556da6357
監視滅火系統,58814692-b9cb-42fa-96a5-5f953e714864
顧客軌跡偵測之裝置及方法,019bc030-203f-4719-8061-18d2c1ca4dce
［\ue0a9\ue0b0Ｆ］Ｔ８０７衍生物的製備及用途,022c7b40-ef31-46e7-b56c-bce1ff1d66c7
組合式鍋具,02668a5e-808f-4157-b972-da5bf21974ae
菱角殼水萃取液及其製造方法與應用,06683f2a-d8dc-42e4-8e88-7544541c1162
表面聲波元件及其製作方法,066b5783-a24f-4608-9c5e-3817153eeb4d
以臼齒為抗力點之手動口腔擴張裝置,01bffd89-d931-4c17-960d-fa291f8c6d84
百香果果肉的用途,0607a1c3-d064-424e-8ee9-c6bce076bf8f
氧化物的前驅物、氧化物層、半導體元件、及電子裝置和氧化物層的製造方法及半導體元件的製造方法,1145c961-19ce-4f5a-88dc-9d1a788a75b2
雙埠靜態隨機存取記憶體,11745676-0acf-4e1d-9f28-3535231a4a6f
使用金屬奈米粒子之金屬接合結構及金屬接合方法以及金屬接合材料,10832840-8736-42c5-aa37-7754bcbef9f0
基於影像辨識的規律動作偵測方法,12d0ef67-771c-4b65-9a4a-6e51c43cb0fc
藍芽傳輸的防摔倒傷害別針,113add2e-1b67-45e9-961a-0800908d2797
雙Ａ字型天線,13e08ab3-db00-4533-b80b-4f548db0e9fc
可揹式加壓型混合滅火設備之製造方法,1381d948-4d23-4d87-a395-64fa5fb11a65
水處理方法、水處理用鎂劑及水處理用鎂劑之製造方法,132f5ff9-fc7e-4fd9-838b-86aba7a143fd
雙瞳孔量測方法以及雙瞳孔量測裝置,1784009b-d6d1-4981-a32e-86ca726923ea
手術結紮裝置,179d7179-40f9-4032-839e-46d4e92497a4
經編針織物及醫療材料,14edd94d-a51c-4831-807e-b3fa122d89c5
具互動回應功能的燈控系統及其方法,1791c181-87e1-4ed3-8985-b83e066d9894
次像素電路及具有前者之顯示系統與電子裝置,177ea828-8563-4261-82e6-7b1bd8b226ab
不孕症之處置所用的醫藥組成物及其製造方法,1606ad33-1460-4714-b8d0-6ba3c3c99fb2
抗IL-2抗體及其組合物及用途,163da099-d21e-42c2-8fe4-6cee0be3d0b9
微波輔助轉穀醯胺酶交聯牛乳蛋白之方法及其應用,1637f285-2df5-47d6-a84d-8b74151a8cd5
輸血加壓及餘量偵測結構,1550bb04-76bc-4bd6-80fb-acced5252696
５Ｔ靜態隨機存取記憶體,1a23363c-b46d-42de-a026-0be42ba79eb8
同理心評量方法及教具,1a5a1314-9bf0-4d38-ba49-822780f0f05a
氫排出膜,1a47afd6-6640-4532-9a4f-93a4023a9c36
新穎四羧酸二酐、及由該四羧酸二酐所衍生的聚醯亞胺，以及由該聚醯亞胺所構成之成形體,1a3751d8-6504-4a18-ae57-49865d32eeae
７Ｔ雙埠靜態隨機存取記憶體（八）,19873307-1bfb-435c-bea0-3262b28edb73
車輛無線充／放電定位系統,19c29c47-1b6e-4c68-a5c7-522e679ac707
具中央固定柱之可旋轉六角形水族箱,19978246-c41f-473b-bf69-76a0a091a3c4
三劑型面膜,197ee2d1-6f44-412d-b14f-21afd2a79721
７T雙埠靜態隨機存取記憶體,1b39e6dd-9634-46f4-b264-06cc49add2db
一種水性聚氨酯阻燃性材料,1b62e61c-13c5-4d60-85d6-cfb9229209be
５Ｔ靜態隨機存取記憶體,1b842cd4-0397-4210-b3f8-019e48e30d71
育成管理系統及其方法,1b22822c-2f83-42ec-a300-62a897d6f2cf
含魚鱗胜肽及溫度感應型材料之奈米纖維作為面膜之用途及其製備方法,1b9f4f23-d355-4c9c-aef9-f18fd017283d
加密解鎖裝置及其方法,071e934e-74eb-4c5c-973a-76a412e5b54a
編織物受壓之壓力分佈偵測方法,06f94788-462c-443b-b5a9-86c25daedee2
紙式檢測裝置之顏色辨識方法,07d9562e-410b-412f-b332-880244ace41a
以流體化床結晶技術從含鎳廢水中合成鹼式氧化鎳結晶物之方法,04df390d-01b1-458c-97c1-60215ff52424
視訊解碼方法,04b12193-9091-47ad-bd98-aeec7875dac0
防鍋底燒焦裝置,0499d766-cc4a-4246-8e61-7068cf930455
一具有Ｎ型金氧半電晶體觸發的靜電放電防護元件,00d42f5e-becf-49e8-94e1-7e89c1f5ee06
用於壓電元件之構造體、編織狀壓電元件、使用編織狀壓電元件之布帛狀壓電元件及使用該些之裝置,00ee1702-27c2-4cdd-83ee-8b2119520c42
論文與參考文獻之比對方法、電腦程式及電腦可讀取記錄媒體,00c4c035-eae4-4c01-af90-74a7e8fcab59
有機金屬銥錯合物及其簡易合成方法和用途,0316b21c-828e-41fc-a105-4b2a4fa9543b
廢水處理系統及方法,2148daa3-3cdd-41b0-b943-ebc25112575b
多環芳香族化合物、多環芳香族多聚體化合物及發光層形成用組成物與其用途,1eeeaced-0949-4c92-b01d-32268eb6fb18
藉由原子層沉積法之釕薄膜之形成方法,1f06c4d1-21cb-4861-89be-0bc7bf42c85b
壓電構造體及使用彼之裝置,1e42509d-f371-475d-9027-db27fed97b05
一種含奈米銀粒子之高分子乳膠顆粒組成物,2089bd8d-9e23-4cfe-a08a-fb76e3b44a57
新穎的四羧酸二酐、及自該四羧酸二酐得到之聚醯亞胺與聚醯亞胺共聚物,20a426ed-813e-4056-9d80-504ea476866e
密封包之輔助倒出裝置,20b3bd9e-9431-4937-8e83-6611c00e8b1b
吞嚥障礙檢查裝置、吞嚥障礙檢查方法、吞嚥障礙治療裝置以及刺激電流設定方法,1c3d00cd-6854-4df8-b03f-5dd9905b680b
全向移動装置及其姿勢控制方法,20ea9b21-1f51-488d-a47c-48b327cd02fa
環狀胜肽衍生物與其製造方法以及組成物,108d7ae2-6be9-4b7f-aef9-2959a313fdab
高爾夫球桿頭自動建模系統及方法,11515a43-caa7-4667-b382-44e16c78cdd8
細胞片及其製造方法,0d4c8ba4-49c3-4f1e-b762-5dbb98698797
電子球棒,0d25bb93-d3f7-4ec5-882e-d22e74622317
結合商品優惠及景點介紹之互動方法、程式產品及電腦可讀取媒體,0d5234ed-b51d-4c15-afd5-6e45cbd9eeea
具高讀取速度之靜態隨機存取記憶體,0cff40ba-2cd2-42a7-8667-e8742cb95353
有機知識教育農場雲端智慧經營的系統與方法,0b6610eb-6af5-4c0a-9846-c8aa47ed8c23
大型車輛轉彎主動式安全裝置,0b35135c-9105-480a-86e5-e657c5c5bbca
治療物質輸送設備、及治療物質輸送套組,0b56df85-4ed7-4554-989c-975f552e9939
阻劑組成物及使用其之圖型形成方法，以及化合物及樹脂,0d89cc43-4750-445f-8329-6721d8e5f10b
有機電場發光元件、顯示裝置及照明裝置,1676a0bd-e1e6-40af-b759-6148114853d6
視訊解碼方法,03b7b9e3-cf3d-455a-a9e8-fc478207b6de
靜態隨機存取記憶體,0652d173-a2a8-44c6-b71a-d54b7e7c0c02
沉香結油之方法,033eeae3-cee1-4241-b801-993d7952dcc7
以流體化床結晶技術合成均質含鋅結晶物之方法,15d67223-d9ed-40e2-9935-2de6f384c945
行動機器人及其控制方法,1a8dfdd3-9afa-4e55-a7c6-752a74f22268
虹膜辨識方法,1bfbaed4-b389-4855-a7a4-403519603e40
膠原蛋白的萃取方法,1c1d27e9-c7b3-4210-850a-cd313ad07bdf
比賽計分器,203454d2-adca-40c6-95ea-4569a63addc6
用於改善或預防疱疹病毒感染症之組合物,200b9c3f-7bf5-421c-9d89-584a5f12db52
連動式安全針具,1e8d20a7-8bc3-4015-907e-9874664fc605
牛樟芝培養方法,1f2f86af-53ba-4eec-9671-75a52631cf3a
硬化性樹脂組成物、硬化物及凹凸結構體以及其製造方法,1b1160fa-3237-453c-97f4-9bf82c513748
促進用於半導體製造的半導體元件的伸張之方法，藉由此方法獲得的半導體平台，及包含此半導體平台的光電裝置,1b1a7ce4-ab22-47c9-930b-1dbc07c501fc
錯誤校正及解碼,22e46cd3-cfc8-489a-8a57-0353affdfc35
視訊編碼及解碼方法及使用該方法之裝置,25c337d7-9951-4057-a12f-55fdfb345586
電泳墨汁,29db0983-1348-4963-8687-2b28ffb8c7c4
靠枕結構改良,31000d9b-b473-4d0f-9852-454032da86bd
窗戶安全警示裝置,3118a881-98fd-4197-aa4c-6e4093702055
金屬製品的製造方法,2f0d80b9-a485-46dd-916f-c7f3811e8925
轉動式機車煞車燈開關,0a40f45a-6534-4f1b-b3b1-923b120fc769
靜相材料及層析管柱,057b3058-cfb9-4ad8-b336-2fe4a967ed56
道路剛性鋪面版塊支承構造,055884d7-e390-4d55-9c37-e7339decbbc5
組合式裝飾品,052df7ab-b9f3-49ca-aeb9-9b15776c35d5
靜態隨機存取記憶體,07e988bd-95f6-4c1d-87b2-edf94a29bfce
含衍生自酵母菌之胞外囊胞之抗發炎組成物,0ca8a8f2-a6ec-486c-baf0-4d860bd2327a
新穎化合物、含有該化合物而成之光聚合引發劑及含有該光聚合引發劑之感光性樹脂組合物,0d6c9066-ae61-42db-9485-51445a755ff5
觸控面板、顯示裝置以及其製造方法,0d323905-a47a-4463-bd32-c5ed644c6d87
忌避劑、刺咬忌避劑及節肢動物媒介病預防劑,0e54450a-1ecc-4bd1-aac0-53d61c6ea890
用於製作氣溶膠的乳化組成物、及氣溶膠劑,0bb78d4a-df63-42c7-ba78-61360e5a27e0
具有聽與說並兼具休閒及安全功能之頸部骨傳導無線通訊裝置,0b38763c-4da3-47a3-95b3-dba0a4dd1378
掃描定位系統,0f18fb4e-2396-4bed-b226-d3d31f972595
立體影像與雷射掃描測距整合方法,1fb699ec-bebb-4115-8299-c83c47b83916
由嵌段共聚物組成物製備厚奈米結構化膜之方法,1f6b692b-385a-4c6d-adf0-a660f354f733
光學式心跳血壓量測裝置及行車安全檢測方法,1f7c5047-e4a9-46da-895a-7c0249220e0a
置換式節能直流馬達,246de954-b438-4b70-a718-cb37f47cd6b6
方便替換之固定膜,27cbc958-4a94-46a2-9503-fd7df7c3d1a1
抗反射組合片,28d5cbdb-5651-4d49-b8cd-67a44b2e6eca
具有高精確度之定位系統,28c79a56-938e-4834-b449-e85effdf40d4
化學物質簡易檢測裝置、其檢測方法及檢測試劑載體,27a0d7e4-9b38-424a-8c57-fed4c2cca97e
調變纖核結構之高雙折射率光子晶體光纖,28390e19-2883-4bae-9118-27214f05bdbf
單埠靜態隨機存取記憶體,284bdfa9-0adc-43bb-801f-25edd10a1287
注入鎖定的時間模式類比至數位轉換器,271a273d-2edf-4c82-8360-2a9a79f88816
偵測系統與偵測方法,2776fba6-ce67-4e50-a475-c65bc1bc6ecb
無電源線無線電源之晶片系統,272d19b3-48b8-4556-b295-7687f258e210
混凝土組成物以及其製造方法,2a77151a-63a7-4e1a-8741-423c84c65117
包含甘油脂肪酸酯衍生物或丙二醇脂肪酸酯衍生物之度他雄胺及他達拉非複合配方及包含該複合配方之口服膠囊配方,2e069c3b-05d5-435f-97ce-4108ab5b243f
植基於WORKER序列化請求的認證處理方法,2c8d1597-b109-40f7-8fd4-08d41d9d30b8
電解液及鋰離子二次電池,2c650d5c-6638-401e-9c82-61ec39dff604
具有置換式可蓄電晶片系統之電路,2be2076a-973a-4c69-8c09-9414a93ad09b
自生質熱分解氣體回收氫之方法,2ec348d7-8b5d-4dcc-9067-f777f5805a86
車速導引系統,2db7bacf-5b31-450c-943e-9d6071395291
魚菜共生系統,2db95747-5a5d-4c06-ba0f-985914fcc524
用於腹膜透析中腹膜併發症評估的影像分析方法及裝置,2d9c44fd-20ac-46d1-bb81-d8afef42618a
７Ｔ雙埠靜態隨機存取記憶體（二）,35ba82d7-ccee-454c-a0a5-ad05a88d0bd5
肋膜安全注射針,35441979-9410-4880-aee7-752cc27eb6f8
壓電元件及使用其之裝置,34f1fce5-649e-4d7e-8c3c-726cbdf0ec2e
以流體化床結晶技術從含磷廢水中將磷移除之處理方法,367c9dd9-cb52-4f8a-a2d2-a5ce8f0750f3
浴缸結構,36760cf0-4f5f-4008-901a-b8dc23016d76
癌症復發及/或轉移抑制劑,238ebabb-1a18-4657-a158-dab00d737db1
防止排泄物沾手的造廔袋,24ddc8c0-ec50-4c72-a5f9-364b32ce4c4b
植生型乳酸菌代謝產物之胜肽分離方法,24b1096d-fd71-4078-856b-1675e202ed94
使用摩斯碼之智慧型行動裝置的無線遙控系統,21d9fb45-332d-4734-a3fb-4d2bc89967c1
骨植入物,255d89e3-646b-41aa-b40b-e00ade0e15a5
虹膜辨識方法,24b3eb23-f702-4b71-908f-5281942b6eb4
用於預測癌症免疫療法之臨床效果的免疫生物標記,2b1dfeb2-d4ae-4b8e-b12e-9138585dfcd6
剪髮教學示意裝置,2c0ae7b5-f8fc-4f47-b087-40abc9c5d458
酒駕防止之斷電系統,29f48b11-da00-4177-bc2e-573d110c2d72
包含ＩＬ－３３拮抗劑的子宮內膜異位症治療劑,2b6acc28-bff2-4539-8f78-decd0388f941
視訊編碼及解碼方法及使用該方法之裝置,2ceb465b-3053-4b57-9687-f63c934cf9d7
用於皮膚保健材料的米癒傷組織之製備方法,3420e754-f30c-46af-bc5b-80fbf39d55cd
有機電場發光元件、使用其的顯示裝置及照明裝置、化合物,34221b04-392a-4c20-a6d8-ae75c2a639bd
皺子白花菜萃取物用於製備抗神經發炎之組合物之用途,32fffd92-b303-4145-9cc7-6361a884d834
原位胃癌細胞株及其製備方法,34a6d206-5f8e-40db-8f4c-dd5095f22e01
水洗式防潑水之彩妝組合物,3107e4f2-51f7-4112-a7f6-8c42bd5e1799
車鎖提醒裝置及其方法,32ef793d-1f8c-44d0-9a18-4ab5c87e4ac6
製造混合式基材的方法,5497517b-dca2-481c-a910-95249dad9dc2
以流體化床反應從含鎳廢水中回收鎳之處理方法,5879c630-2723-4872-93d4-6b6770cb9fc1
手部三維參數化模型之製程及使用此模型製作之輔具,58929831-b727-4532-a9c5-47c9da2fef70
真空驅動自體膨發式烘烤機,57fe0e41-6673-4507-af69-b256cf34a850
細胞治療反應的判斷方法,5809cf27-4c43-46cc-a537-f18ef0c9fa92
具下肢姿勢擺位及多自由度擺動之乘坐式腹背肌群運動方法及系統,5921ed30-7f1a-4889-8254-8899e4d1099f
藥物載體與其製造方法,599a0080-a936-4e41-ac06-9e6ee8b68135
氧化物介電質及其製造方法、氧化物介電質之前驅物、以及固體電子裝置及其製造方法,5695f88a-9dc2-4e28-82eb-0e03d729fe05
聚醯胺酸及聚醯亞胺薄膜,565a82f4-d525-4750-a4d7-3d4e34018579
７Ｔ雙埠靜態隨機存取記憶體（三）,5aa9d97d-037f-4d7f-a551-4b0eb2977db1
可藉音頻技術獲得瘻管窄化程度之程式產品以及儲存有所述程式產品之電腦可讀取媒體,5a9c83e9-2eec-43e7-9fea-a9d8e096cb65
包括雙芳基銨之鍍敷用整平劑、包含其的鍍銅溶液及使用其之鍍銅方法,578d5acb-1c79-41fb-aba2-9f7d4f9196a8
有機電場發光元件、使用其的顯示裝置及照明裝置、化合物,5b05f8be-43c9-470b-97a4-b85ddde39ebd
一種網頁序列化之預載系統及方法,42799ad0-ed48-4198-8b1f-e6358f5727f2
電動輪椅之移動控制模組,42632e0c-8d85-47de-afed-07d5096414d4
頭頸部訓練輔助裝置,3ce63609-695e-4ee0-96f4-f553e715ac18
具保健改善體質的負氫離子水及能量水之雙功能活水製造設備,3c65f813-ca97-4eea-a63a-934d50a99457
具感官啟發之立體拼圖式教具,417094d4-a4d2-4a9e-ae07-deb360f8c375
陶瓷觸媒製備方法及陶瓷觸媒用於催化臭氧降解有機廢水之實施方法,41a3c823-996a-4e29-b638-790a50d3ede1
有機電場發光元件、顯示裝置以及照明裝置,421582ea-1e77-4e49-9d51-56dcbfc16dd7
睡眠呼吸中止症簡易型預測裝置及其使用方法,41037318-805f-4f48-b6d4-8e88a63c43dc
軌跡認證裝置及其方法,3fbd184b-2789-440b-9b15-2524e09e7396
用於壓電元件之構造體、編織狀壓電元件、使用編織狀壓電元件之布帛狀壓電元件及使用該些之裝置,42a125a9-a9df-48ce-a631-ff92475b29aa
無線教具系統,42dce4c7-27bc-4678-b202-696607385bf1
雲端報表產生之行銷企劃財務系統,4b33fd78-6767-4e18-8117-7b37ad0dfa7d
主動感應式點滴高度警示裝置,4fb7b0dc-67aa-4915-8a21-68a5f955a5c1
錯誤校正及解碼,4fbb2e4b-b587-4179-9536-0299ad9c8a26
含迷迭香與五倍子組合物及其抗菌用途,4fc20bbe-c77f-4147-991d-6f0bc87237e2
光學式壓力密碼鎖,51692110-5dec-45a2-9e4f-fc67de41464a
冷泡茶專用轉接瓶蓋,5043f37b-25f4-4e72-b39a-aa739f56cf4d
感光性樹脂組合物及其硬化物,51946bc7-9a53-4d16-981b-aabecb038d26
ＰＺＴ鐵電體膜之形成方法,4401a7ff-3d15-4625-beef-952b85a2869c
3’-甲氧基染料木黃酮於抑制或治療黑色素瘤之用途,3cd9414b-1ba7-49eb-9974-872105552949
音訊控制裝置及其方法,45fdba4b-e11a-4b65-b6ed-3e2d85e378d0
移動式加水產生氫氣的方法與容器罐,45bf5ae0-2f7e-422e-8158-bc745e02d821
載體及其用途,4c85ef13-42e1-460a-b0a7-3df39d1a5bde
以流體化床結晶技術合成均質鹼式碳酸銅及氧化銅結晶物之方法,4d28a02f-e6ec-40db-9efe-293f91b531dc
甲魚生殖器萃取物之製備方法,4b0d7fe4-9d2d-4543-b779-00db489588b4
藉由原子層蒸鍍法之釕薄膜之形成方法,49640afa-d824-455d-84e6-6d70d70ab727
傷口測量裝置,4e1c5d88-591d-46bf-8018-3b853a66b932
中空無機微粒懸浮乳液、中空無機微粒及其製備方法,5df5b8bc-8112-43ee-89fd-0e5f8d7c354e
情境感知語言學習系統與方法,5dbc7ee4-d36f-4537-809e-7028782e5df1
ＩＬ－８相關疾病之治療用或預防用組成物,5d570097-41c3-4e83-ba6e-40e09c16f3ce
靜相材料及層析管柱,5d2c4d09-42e6-4c5d-9a73-53270e5d03ce
主被動混合運動訓練設備,5dd60c78-dd1c-4ea2-addc-06236c668f66
掀背式車用座靠椅具裝置,3b392b2f-1c7b-40aa-8983-e6d079d6a84b
